Segments, Location, Referenced Data type, Value Set
SCP,7,CWE,HL70657
SCP,8,CWE,HL70659
SCP,3,CWE,HL70653
SCP,2,CWE,HL70651
APR,1,SCV,HL70294
QPD,1,CWE,HL70471
STF,39,CWE,HL70771
STF,5,IS,HL70001
STF,28,CWE,HL70189
STF,30,CWE,HL70171
STF,16,CWE,HL70185
STF,17,CWE,HL70002
STF,7,ID,HL70183
STF,4,IS,HL70182
STF,9,CWE,HL70069
STF,21,ID,HL70136
STF,8,CWE,HL70184
STF,20,CWE,HL70066
STF,27,CWE,HL70005
STF,36,CWE,HL70539
STF,2,CX,HL70061
STF,1,CWE,HL79999
STF,12,DIN,HL70537
STF,38,CWE,HL70540
STF,33,CWE,HL70538
IPR,4,CWE,HL70571
CDM,8,ID,HL70183
CDM,13,ID,HL70136
CDM,9,CWE,HL70463
CDM,5,IS,HL70268
CDM,7,CNE,HL70088
CDM,6,CWE,HL70132
DG1,11,CWE,HL70083
DG1,23,CWE,HL70728
DG1,25,IS,HL70731
DG1,7,CNE,HL70118
DG1,26,IS,HL70895
DG1,3,CWE,HL70051
DG1,17,IS,HL70228
DG1,8,CNE,HL70055
DG1,6,IS,HL70052
DG1,21,ID,HL70206
DG1,18,ID,HL70136
DG1,15,ID,HL70359
DG1,10,IS,HL70056
OM1,47,CWE,HL70259
OM1,3,ID,HL70125
OM1,30,CWE,HL70177
OM1,18,IS,HL70174
OM1,45,CWE,HL70258
OM1,43,CWE,HL70255
OM1,25,ID,HL70168
OM1,31,CWE,HL79999
OM1,42,CWE,HL70254
OM1,15,ID,HL70136
OM1,44,TX,HL70256
OM1,26,ID,HL70169
SDD,4,IS,HL70667
SDD,5,IS,HL70669
OM3,6,CWE,HL79999
OM3,7,ID,HL70125
NK1,35,CWE,HL70005
NK1,15,IS,HL70001
NK1,19,CWE,HL70171
NK1,36,IS,HL70295
NK1,28,CWE,HL70189
NK1,20,CWE,HL70296
NK1,14,CWE,HL70002
NK1,22,CWE,HL70215
NK1,39,IS,HL70099
NK1,18,IS,HL70009
NK1,27,CWE,HL70212
NK1,17,IS,HL70223
NK1,34,IS,HL70311
NK1,25,CWE,HL70006
NK1,21,IS,HL70220
NK1,23,ID,HL70136
NK1,24,IS,HL70231
NK1,3,CWE,HL70063
NK1,7,CWE,HL70131
NK1,29,CWE,HL70222
OM2,2,CWE,HL79999
OM5,2,CWE,HL79999
OM4,5,CWE,HL79999
OM4,2,ID,HL70170
OM4,13,ID,HL70027
OM4,7,CWE,HL70371
OM7,3,CWE,HL70412
OM7,23,ID,HL70136
OM7,22,IS,HL70473
OM7,18,CWE,HL70414
OM7,24,CWE,HL70132
OM7,12,CWE,HL70413
OM7,9,CWE,HL79999
STZ,4,CWE,HL70811
STZ,1,CWE,HL70806
STZ,3,CWE,HL70809
ODT,2,CWE,HL79999
ODT,1,CWE,HL70160
AIG,13,IS,HL70279
AIG,2,ID,HL70206
AIG,14,CWE,HL70278
NSC,1,IS,HL70409
ODS,1,ID,HL70159
ODS,2,CWE,HL79999
LOC,3,IS,HL70260
LOC,7,CWE,HL70461
